"Region";"Crop";"Lutum";"Sand";"Silt";"pH";"C";"Cstock";"Years"
"344";"Leemstreek";"SMGR";0.22;0.27;0.51;6.28;1.89;107.57;15
"345";"Leemstreek";"GM";0.23;0.26;0.52;6.03;1.78;96.49;14
"346";NA;"GM";0.36;0.18;0.46;6.32;1.82;96.04;11
"347";"Kempen";"SMGR";0.07;0.73;0.19;5.09;2.14;87.3;19
"348";"Leemstreek";"SM";0.19;0.24;0.57;6.12;1.78;97.38;10
"349";"Leemstreek";"SMGR";0.21;0.32;0.47;5.69;1.86;100.11;14
"350";"Kempen";"PG";0.15;0.62;0.23;5.08;2.97;102.13;14
"351";"Leemstreek";"SM";0.21;0.3;0.5;6;1.81;91.01;22
"352";"Kempen";"SM";0.21;0.59;0.19;4.95;2.13;87.82;12
"353";"Leemstreek";"SM";0.2;0.27;0.54;5.79;1.77;98.74;14
"354";"Leemstreek";"SM";0.23;0.26;0.51;NA;1.78;94.09;17
"355";"Kempen";"SMGR";0.15;0.59;0.26;5.28;2.31;94.58;24
"356";"Kempen";"GM";0.18;0.59;0.22;4.84;2.02;84.44;15
"357";"Kempen";"GM";0.14;0.65;0.21;5.18;2.05;84.96;22
"358";"Leemstreek";"PG";0.24;0.24;0.52;NA;2.48;119.4;12
"359";"Leemstreek";"SM";0.38;0.19;0.43;5.79;1.76;96.65;17
"360";"Kempen";"SM";0.21;0.59;0.19;5.21;2.25;83.77;18
"361";"Leemstreek";"GM";0.2;0.27;0.53;5.86;1.63;97.81;23
"362";"Leemstreek";"SM";0.25;0.27;0.48;6.2;1.96;101.38;15
"363";"Kempen";"SMGR";0.15;0.63;0.22;5.11;2.17;96.16;17
"364";"Leemstreek";"GM";0.31;0.2;0.49;6.11;1.86;94.39;17
"365";"Leemstreek";"SMGR";0.28;0.26;0.46;5.9;1.74;100.42;21
"366";"Kempen";"SM";0.19;0.65;0.16;4.87;2.17;84.46;11
"367";"Leemstreek";"SM";0.19;0.29;0.52;6.18;1.87;109.82;21
"368";"Leemstreek";"GM";0.21;0.24;0.55;6.05;1.65;94.68;20
"369";"Leemstreek";"SMGR";0.34;0.24;0.42;5.95;1.84;108650;20
"370";"Leemstreek";"SMGR";0.12;0.29;0.59;6.01;1.91;103.38;17
"371";"Leemstreek";"PG";0.28;0.2;0.52;6.27;2.54;118.53;14
"372";"Leemstreek";"PG";0.18;0.24;0.58;5.86;2.39;117.58;16
"373";"Kempen";"SMGR";0.19;0.62;0.19;4.95;2.18;89.29;12
"374";"Leemstreek";"PG";0.29;0.2;0.51;5.88;2.57;126.52;14
"375";"Leemstreek";"SM";0.25;0.26;0.49;5.68;1.71;99.39;11
"376";"Kempen";"SM";0.06;0.69;0.24;5.26;2.17;86.01;17
"377";"Kempen";"GM";0.2;0.6;0.2;5.14;2.08;85.32;15
"378";"Leemstreek";"GM";0.26;0.24;0.5;6.04;1.66;104.18;13
"379";"Leemstreek";"SMGR";0.34;0.26;0.39;5.99;1.85;107.25;21
"380";"Kempen";"PG";0.22;0.59;0.2;5;2.81;100.68;14
"381";"Leemstreek";"SM";0.22;0.27;0.51;5.84;1.82;94.34;16
"382";"Kempen";"PG";0.16;0.65;0.2;5.27;2.86;100.12;21
"383";"Leemstreek";"SM";0.25;0.25;0.5;5.71;1.75;87.42;12
"384";"Kempen";"SMGR";0.25;0.54;0.21;5.19;2.06;95.05;12
"385";"Leemstreek";"PG";NA;NA;NA;5.84;2.53;118.4;25
"386";"Kempen";"GM";0.17;0.57;0.26;5.16;2;83.64;25
"387";"Leemstreek";"SM";0.28;0.27;0.45;5.85;1.81;102.76;21
"388";"Leemstreek";"SM";0.33;0.19;0.48;5.9;1.94;96.34;10
"389";"Leemstreek";"SM";0.22;0.19;0.59;6.35;1.78;97.86;25
"390";"Leemstreek";"PG";0.4;0.23;0.37;6.13;2.57;121.66;21
"391";"Kempen";"PG";0.17;0.62;0.21;4.67;2.66;106.89;23
"392";"Leemstreek";"GM";0.15;0.22;0.62;6.03;1.82;93.36;13
"393";"Kempen";"SM";0.07;0.64;0.29;5.01;2.11;86.88;14
"394";"Kempen";"GM";0.16;0.62;0.22;4.87;1.99;84.15;19
"395";"Leemstreek";"PG";0.31;0.24;0.45;6.04;2.35;119.21;15
"396";"Leemstreek";"GM";0.22;0.27;0.51;6.03;1.76;91.66;21
"397";"Leemstreek";"SM";0.28;0.26;0.46;5.93;1.82;100.7;11
"398";"Leemstreek";"SM";0.18;0.24;0.59;6.39;1.82;103.8;23
"399";"Leemstreek";"GM";0.29;0.26;0.45;5.55;1.79;101.46;22
"400";"Kempen";"SM";0.14;0.63;0.23;5.27;2.06;87.47;23
